市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,LocName,lng,lat
狛江市中和泉１丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,1,2,2,0,0,0,0,東京都/狛江市/中和泉/一丁目,139.57523,35.6354
狛江市中和泉２丁目,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,東京都/狛江市/中和泉/二丁目,139.57115,35.63822
狛江市中和泉３丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,東京都/狛江市/中和泉/三丁目,139.5703,35.63561
狛江市中和泉４丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,東京都/狛江市/中和泉/四丁目,139.5659,35.63639
狛江市中和泉５丁目,13,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,8,0,0,5,1,0,0,0,0,0,0,2,2,2,0,0,0,0,東京都/狛江市/中和泉/五丁目,139.56625,35.64151
狛江市西和泉１丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,東京都/狛江市/西和泉/一丁目,139.5643,35.63998
狛江市西和泉２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,東京都/狛江市/西和泉/二丁目,139.56395,35.63687
狛江市東和泉１丁目,42,1,0,1,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,27,0,1,19,1,0,0,1,0,1,0,4,10,1,2,0,0,7,東京都/狛江市/東和泉/一丁目,139.57945,35.63154
狛江市東和泉２丁目,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,2,0,1,1,0,0,0,0,2,1,0,1,0,0,0,東京都/狛江市/東和泉/二丁目,139.58003,35.62999
狛江市東和泉３丁目,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,東京都/狛江市/東和泉/三丁目,139.57425,35.62663
狛江市東和泉４丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,3,2,0,0,0,1,東京都/狛江市/東和泉/四丁目,139.57169,35.62628
狛江市元和泉１丁目,31,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,10,0,0,0,0,0,0,7,4,8,4,2,0,0,2,東京都/狛江市/元和泉/一丁目,139.57484,35.63131
